Date,Open,High,Low,Close,Adj Close,Volume
2012-08-28,108.000000,110.599998,106.099998,108.849998,103.293015,906607
2012-08-29,108.000000,110.449997,107.400002,109.449997,103.862381,840345
2012-08-30,109.050003,115.400002,107.400002,114.500000,108.654572,2299775
2012-08-31,114.099998,115.000000,111.000000,113.750000,107.942856,1709001
2012-09-03,112.300003,117.000000,112.300003,116.250000,110.315224,622511
2012-09-04,117.500000,117.500000,114.199997,116.599998,110.647377,373291
2012-09-05,115.699997,116.900002,115.000000,115.599998,109.698402,1031669
2012-09-06,114.050003,115.349998,110.849998,114.150002,108.322433,1049284
2012-09-07,115.099998,116.900002,112.150002,112.949997,107.183693,1312589
2012-09-08,null,null,null,null,null,null
2012-09-10,112.300003,114.949997,111.650002,112.699997,106.946465,1544686
2012-09-11,112.699997,113.500000,111.400002,112.449997,106.709213,1285716
2012-09-12,111.550003,112.949997,110.150002,110.900002,105.238350,1198143
2012-09-13,110.500000,112.349998,109.800003,110.599998,104.953659,984996
2012-09-14,112.900002,113.099998,110.099998,111.599998,105.902618,1853351
2012-09-17,112.150002,114.050003,110.900002,111.650002,105.950066,1522753
2012-09-18,112.150002,117.900002,111.800003,117.050003,111.074379,2158032
2012-09-20,116.400002,116.750000,114.050003,115.500000,109.603531,2705275
2012-09-21,117.000000,119.400002,113.250000,115.699997,109.793289,3156075
2012-09-24,116.000000,123.449997,114.300003,119.550003,113.446754,4222804
2012-09-25,120.949997,121.800003,117.099998,120.000000,113.873772,3807912
2012-09-26,119.900002,123.949997,119.900002,122.599998,116.341049,2423037
2012-09-27,122.000000,124.400002,119.550003,122.050003,115.819130,3694614
2012-09-28,123.000000,128.500000,123.000000,127.500000,120.990891,2455631
2012-10-01,128.100006,128.500000,124.550003,125.500000,119.093002,470394
2012-10-03,125.500000,130.000000,124.000000,129.500000,122.888786,1268946
2012-10-04,130.100006,132.300003,128.600006,129.600006,122.983681,1423093
2012-10-05,129.649994,131.149994,123.599998,128.149994,121.607704,1210168
2012-10-08,127.050003,127.949997,121.349998,123.800003,117.479782,533122
2012-10-09,125.949997,126.349998,121.800003,122.650002,116.388496,410937
2012-10-10,122.050003,122.800003,119.599998,120.500000,114.348251,276010
2012-10-11,119.949997,124.900002,118.699997,124.300003,117.954262,604810
2012-10-12,123.849998,127.000000,123.449997,125.400002,118.998093,735106
2012-10-15,125.400002,125.500000,122.449997,123.449997,117.147652,304000
2012-10-16,122.000000,122.000000,118.099998,120.050003,113.921242,1903838
2012-10-17,119.150002,120.900002,118.000000,120.000000,113.873772,389450
2012-10-18,120.000000,125.400002,119.300003,124.699997,118.333832,1293131
2012-10-19,125.000000,127.449997,122.650002,124.349998,118.001701,1344070
2012-10-22,124.050003,130.600006,123.050003,129.750000,123.126038,2914830
2012-10-23,130.699997,131.000000,127.699997,128.550003,121.987282,1724049
2012-10-25,128.000000,132.899994,128.000000,130.699997,124.027512,1479503
2012-10-29,126.050003,127.400002,123.550003,124.500000,118.144043,1584245
2012-10-30,124.050003,127.800003,123.000000,125.000000,118.618515,678844
2012-10-31,125.550003,128.649994,124.900002,127.250000,120.753654,1690316
